Kurita,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
mechdef_hatamotoku_HTM-27W,0,,0,3039-12-01T00:00:00Z,6,,6,,6
mechdef_cyclops_CP-10-Q,16,,12,,10,,10,,10
mechdef_awesome_AWS-8T,9,,7,,6,,6,,6
mechdef_hatamotokaze_HTM-27V,0,,0,3039-12-01T00:00:00Z,6,,6,,6
mechdef_charger_CGR-SB,0,3025-07-01T00:00:00Z,12,,6,,6,,6
mechdef_awesome_AWS-8Q,92,,68,,58,,58,,58
mechdef_hatamotochi_HTM-27T,0,,0,3042-01-01T00:00:00Z,41,,41,,41
mechdef_longbow_LGB-7Q,26,,19,,16,,16,,16
mechdef_stalker_STK-3H,9,,7,,6,,6,,6
mechdef_annihilator_ANH-1E,0,Jump:3028-05-25T00:00:00Z,3,,3,,3,,3
mechdef_hatamotohi_HTM-27U,0,,0,3039-12-01T00:00:00Z,6,,6,,6
mechdef_katana_CRK-5003-2,0,,0,3039-01-01T00:00:00Z,29,,29,,29
mechdef_thug_THG-11E,0,,0,3049-12-01T00:00:00Z,6,,6,,6
mechdef_crockett_CRK-5003-0,0,3025-01-01T00:00:00Z,19,,16,,16,,16
mechdef_charger_CGR-3K,0,,0,3039-12-01T00:00:00Z,10,,10,,10
mechdef_atlas_AS7-A,16,,12,,10,,10,,10
mechdef_highlander_HGN-733,0,3025-01-01T00:00:00Z,19,,16,,16,,16
mechdef_kingcrab_KGC-0000,16,,12,,10,,10,,10
mechdef_cyclops_CP-10-HQ,9,,7,,6,,6,,6
mechdef_atlas_AS7-D,46,,34,,29,,29,,29
mechdef_atlas_AS7-D-K,3,,3,,3,,3,,3
mechdef_kingcrab_KGC-000,0,,0,3049-12-01T00:00:00Z,6,,6,,6
mechdef_atlas_AS7-K,0,,0,3049-01-01T00:00:00Z,6,,6,,6
mechdef_highlander_HGN-732,0,,0,3039-12-01T00:00:00Z,6,,6,,6
mechdef_marauderII_MAD-4A,0,Jump:3028-05-25T00:00:00Z,3,,3,,3,,3
