MarikLocals,,,,,,,
mechdef_banshee_BNC-3E,26,,26,,25,,27
mechdef_goliath_GOL-1H,42,,37,,27,,20
mechdef_awesome_AWS-8R,38,,38,,36,,39
mechdef_striker_STC-2C,7,,7,,25,,11
mechdef_thug_THG-10E,75,,75,,71,,78
mechdef_awesome_AWS-8V,38,,38,,36,,39
mechdef_battlemaster_BLR-1G,75,,75,,71,,78
mechdef_goliath_GOL-3M,0,,0,,0,3056-01-01T00:00:00Z,1
mechdef_cyclops_CP-11-A,0,,0,3045-01-01T00:00:00Z,4,,4
mechdef_stalker_STK-4N,26,,26,,25,,27
mechdef_stalker_STK-3F,188,,188,,178,,193
mechdef_cyclops_CP-10-Q,7,,7,,6,,7
mechdef_awesome_AWS-8T,38,,38,,36,,39
mechdef_banshee_BNC-3M,11,,11,,10,,11
mechdef_awesome_AWS-8Q,122,,122,,118,,116
mechdef_longbow_LGB-7Q,0,,0,,21,,0
mechdef_goliath_GOL-3M2,0,,0,,0,3056-01-01T00:00:00Z,1
mechdef_longbow_LGB-8C,0,,0,,31,,0
mechdef_atlas_AS7-LL,1,,1,,1,,1
